Group,Mouse.ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,X4_2.FTS,X6_2_FTS,X8_2.FTS,N.MeFOSAA,N.EtFOSAA,FOSA
Naive,MN65,Male,3.51E-07,5.35E-06,1.40E-07,8.20E-05,1.83E-07,1.40E-07,1.48E-06,1.55E-06,1.60E-06,3.61E-07,2.88E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,2.72E-07,2.43E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
Naive,MN66,Male,3.22E-07,4.16E-06,6.95E-05,8.20E-05,NA,5.35E-05,1.26E-06,1.36E-06,1.59E-06,2.74E-07,1.86E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
Naive,MN67,Male,3.19E-07,6.96E-06,6.95E-05,8.20E-05,2.24E-07,5.35E-05,1.38E-06,1.36E-06,1.52E-06,3.09E-07,2.03E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
Naive,MN68,Male,3.26E-07,3.55E-06,6.95E-05,8.20E-05,1.69E-07,5.35E-05,8.75E-07,8.80E-07,1.03E-06,2.20E-07,1.54E-07,7.25E-05,6.02E-07,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,4.23E-07,0.0001155,NA,NA,NA
Naive,MN69,Male,2.69E-07,3.32E-05,6.95E-05,8.20E-05,6.90E-05,5.35E-05,7.33E-07,7.61E-07,8.96E-07,2.10E-07,1.37E-07,7.25E-05,0.000263,0.0001485,0.000379,5.44E-07,0.000116,0.000101,0.0001055,5.02E-07,0.0001155,NA,NA,NA
Naive,MN70,Male,5.20E-07,1.28E-05,6.95E-05,8.20E-05,6.90E-05,5.35E-05,6.47E-07,7.25E-07,8.35E-07,1.69E-07,1.29E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,4.25E-07,0.0001155,NA,NA,NA
Naive,MN71,Male,4.71E-07,4.27E-06,6.95E-05,8.20E-05,1.45E-07,5.35E-05,9.83E-07,9.87E-07,1.10E-06,2.51E-07,1.90E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,3.40E-07,0.0001155,NA,NA,NA
Naive,MN72,Male,9.20E-05,7.30E-06,6.95E-05,8.20E-05,6.90E-05,5.35E-05,5.65E-07,5.63E-07,6.38E-07,1.71E-07,1.36E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,3.33E-07,0.0001155,NA,NA,NA
Vehicle,MV73,Male,1.69E-05,3.35E-06,6.95E-05,8.20E-05,6.90E-05,5.35E-05,7.49E-07,8.72E-07,9.08E-07,1.97E-07,1.23E-07,7.25E-05,5.58E-07,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,3.74E-07,0.0001155,NA,NA,NA
Vehicle,MV74,Male,1.20E-05,4.57E-06,6.95E-05,8.20E-05,6.90E-05,5.35E-05,1.23E-06,1.35E-06,1.59E-06,3.21E-07,2.09E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.52E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
Vehicle,MV75,Male,1.23E-05,3.31E-06,1.09E-07,2.34E-07,6.90E-05,5.35E-05,9.12E-07,9.40E-07,9.67E-07,2.18E-07,1.32E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.08E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
Vehicle,MV76,Male,1.03E-05,5.27E-06,6.56E-08,8.20E-05,6.90E-05,5.35E-05,1.37E-06,1.65E-06,1.84E-06,4.11E-07,2.81E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.47E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
Vehicle,MV77,Male,8.33E-06,4.00E-06,5.07E-08,8.20E-05,6.90E-05,5.35E-05,8.20E-07,8.76E-07,1.07E-06,2.25E-07,1.57E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
Vehicle,MV78,Male,5.02E-06,4.84E-06,8.79E-08,8.20E-05,6.90E-05,5.35E-05,1.20E-06,1.34E-06,1.58E-06,3.13E-07,2.20E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.61E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
Vehicle,MV79,Male,5.74E-06,4.84E-06,6.86E-08,8.20E-05,6.90E-05,5.35E-05,7.92E-07,9.32E-07,1.12E-06,2.31E-07,1.94E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.10E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
Vehicle,MV80,Male,5.64E-06,5.20E-06,4.47E-08,8.20E-05,6.90E-05,5.35E-05,1.20E-06,1.31E-06,1.49E-06,3.56E-07,1.97E-07,7.25E-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.48E-07,0.0001055,0.000153,0.0001155,NA,NA,NA
PFOA 0.166,MA81,Male,21.64817072,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 0.166,MA82,Male,24.21657509,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
