Group,Mouse.ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS_T,PFHpS,PFNS,PFDS,X4_2.FTS,X6_2_FTS,X8_2.FTS,N.MeFOSAA,N.EtFOSAA,FOSA
Naive,MN65,Male,0.0001095,0.0194,0.000538,0.0001155,8.40E-05,4.80E-05,0.000234,2.00E-04,0.000146,6.55E-05,5.15E-05,5.05E-05,0.000195,8.05E-05,0.000813,0.000983,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN66,Male,0.0001095,0.0305,0.000654,0.0001155,8.40E-05,4.80E-05,0.000198,0.000185,0.000144,6.55E-05,5.15E-05,5.05E-05,0.000154,8.05E-05,0.00065,0.001068,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN67,Male,0.0001095,0.0042,0.000541,0.0001155,8.40E-05,4.80E-05,0.000225,0.000172,0.000141,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,9.40E-05,8.50E-05,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN68,Male,0.0001095,0.00887,0.000456,0.0001155,8.40E-05,4.80E-05,0.000141,6.50E-05,6.20E-05,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,9.40E-05,0.000401,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN69,Male,0.0001095,0.0243,0.000419,0.0001155,8.40E-05,4.80E-05,0.000124,6.50E-05,6.20E-05,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,0.001031,0.001856,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN70,Male,0.0001095,0.0146,0.000494,0.0001155,8.40E-05,4.80E-05,0.000142,0.000132,0.000126,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,0.000454,0.000539,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN71,Male,0.0001095,0.00188,0.000438,0.0001155,8.40E-05,4.80E-05,0.000178,0.000138,6.20E-05,6.55E-05,5.15E-05,5.05E-05,0.000191,8.05E-05,9.40E-05,8.50E-05,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Naive,MN72,Male,0.0001095,0.00181,0.000444,0.0001155,8.40E-05,4.80E-05,6.15E-05,6.50E-05,6.20E-05,6.55E-05,5.15E-05,5.05E-05,0.000228,8.05E-05,9.40E-05,8.50E-05,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV73,Male,0.00523,0.0276,0.000699,0.00037,8.40E-05,4.80E-05,0.000127,6.50E-05,6.20E-05,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,0.000361,0.000813,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV74,Male,0.00376,0.0048,0.00046,0.0001155,8.40E-05,4.80E-05,0.000197,0.000184,0.000167,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,9.40E-05,0.000179,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV75,Male,0.00495,0.0044,0.000626,0.0001155,8.40E-05,4.80E-05,0.000199,0.000188,6.20E-05,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,9.40E-05,8.50E-05,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV76,Male,0.00356,0.00661,0.000322,0.0001155,8.40E-05,4.80E-05,0.000208,0.000221,0.000208,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,9.40E-05,0.000227,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV77,Male,0.00296,0.00239,0.000439,0.0001155,8.40E-05,4.80E-05,0.000211,0.000159,0.000126,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,9.40E-05,8.50E-05,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV78,Male,0.00166,0.0129,0.000587,0.0001155,8.40E-05,4.80E-05,0.000198,0.000195,0.000202,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,0.000675,0.000661,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV79,Male,0.00234,0.0122,0.000371,0.0001155,8.40E-05,4.80E-05,0.000167,0.000198,6.20E-05,6.55E-05,5.15E-05,5.05E-05,6.70E-05,8.05E-05,0.000246,0.000496,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
Vehicle,MV80,Male,0.00195,0.00495,0.000567,0.0001155,8.40E-05,0.000135,0.000315,0.00024,0.000229,0.000143,5.15E-05,5.05E-05,0.000191,8.05E-05,0.000212,0.00026,0.0001135,0.000121,8.75E-05,0.000125,0.0001355,NA,NA,NA
PFOA 0.166,MA81,Male,7.23,0.055,0.008,0.0085,0.0115,0.018,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.166,MA82,Male,6.88,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.166,MA83,Male,7.35,0.065,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.166,MA84,Male,7.34,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.166,MA85,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFOA 0.166,MA86,Male,8.7,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.166,MA87,Male,6.23,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.166,MA88,Male,8.2,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA89,Male,19.8,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA90,Male,20,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA91,Male,22.3,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA92,Male,21.5,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA93,Male,23.2,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA94,Male,24.8,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA95,Male,21.6,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 0.5,MA96,Male,22.5,0.023,0.008,0.0085,0.0115,0.0045,0.0155,0.0205,0.0075,0.0115,0.0105,0.011,0.015,0.0255,0.0155,0.0185,0.0165,0.026,0.0075,0.0275,0.027,0.029,0.017,0.0105
PFOA 1,MA97,Male,42,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA98,Male,32.3,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA99,Male,38.8,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA100,Male,48,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA101,Male,48.7,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA102,Male,42.1,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA103,Male,28.5,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1,MA104,Male,37,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1.5,MA105,Male,60.8,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1.5,MA106,Male,47.1,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1.5,MA107,Male,56.5,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOA 1.5,MA108,Male,46.6,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
