metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
run_at: 2025-12-10 16:16:02,DTXCID1011864,1,Perfluorooctanesulfonic acid,DTXSID3031864,DTXCID1011864,1763-23-1,500.13,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
target: DTXCID1011864,DTXCID701526410,1,Perfluorooctanesulfonic acid diethylamine salt,DTXSID901043971,DTXCID701526410,2205029-08-7,573.26,CCNCC.OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_id: chm_pfas,DTXCID201517824,0.875,1-Hexadecylpyridinium perfluoro-1-octanesulfonate,DTXSID701032807,DTXCID201517824,334529-63-4,803.66,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_weight: None,DTXCID2037924,0.875,Ammonium perfluorooctanesulfonate,DTXSID9067435,DTXCID2037924,29081-56-9,517.16,[NH4+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
metric_name: Jaccard,DTXCID9046653,0.875,Bis(2-hydroxyethyl)ammonium perfluorooctanesulfonic acid,DTXSID2072049,DTXCID9046653,70225-14-8,605.26,OCC[NH2+]CCO.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
filter_by: chm_pfas,DTXCID501323379,0.875,"Diphenyl(2,4,6-trimethylphenyl)sulfonium perfluoro-1-octanesulfonate",DTXSID00893373,DTXCID501323379,258341-99-0,804.58,CC1=CC(C)=C([S+](C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_name: Chem: PFAS,DTXCID101478502,0.875,"Iodonium, bis[4-(1,1-dimethylethyl)phenyl]-, salt with perfluoro-1-octanesulfonic acid (1:1)",DTXSID50882934,DTXCID101478502,213740-80-8,892.45,CC(C)(C)C1=CC=C([I+]C2=CC=C(C=C2)C(C)(C)C)C=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
chem_id: ID of neighbor,DTXCID0012421,0.875,Lithium perfluorooctanesulfonate,DTXSID2032421,DTXCID0012421,29457-72-5,506.06,[Li+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
similarity: Similarity of target chemical to neighbor,DTXCID101284977,0.875,Magnesium perfluorooctanesulfonate,DTXSID80881314,DTXCID101284977,91036-71-4,1022.54,[Mg++].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
name: Name of neighbor,DTXCID601325423,0.875,"N,N,N-Triethyldecan-1-aminium heptadecafluorooctane-1-sulfonate",DTXSID50895928,DTXCID601325423,773895-92-4,741.59,CCCCCCCCCC[N+](CC)(CC)CC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
dsstox_sid: DSSTox Substance ID of neighbor,DTXCID901325422,0.875,"N,N,N-Tripropylpentan-1-aminium heptadecafluorooctane-1-sulfonate",DTXSID90895927,DTXCID901325422,56773-56-9,713.53,CCCCC[N+](CCC)(CCC)CCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
dsstox_cid: DSSTox Chemical ID of neighbor,DTXCID401325415,0.875,"N,N-Dibutyl-N-methylbutan-1-aminium heptadecafluorooctane-1-sulfonate",DTXSID70895920,DTXCID401325415,124472-68-0,699.51,CCCC[N+](C)(CCCC)CCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
casrn: CASRN of neighbor,DTXCID801022730,0.875,"N-Decyl-N,N-dimethyl-1-decanaminium perfluorooctanesulfonate",DTXSID00882964,DTXCID801022730,251099-16-8,825.75,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
mol_weight: Molecular weight of neighbor,DTXCID80820526,0.875,Perfluorooctanesulfonate,DTXSID80108992,DTXCID80820526,45298-90-6,499.12,[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
