"Group","Mouse.ID","Sex","PFOA","PFOS","PFBA","PFPeA","PFHxA","PFHpA","PFNA","PFDA","PFUdA","PFDoA","PFTrDA","PFTeDA","PFBS","PFPeS","PFHxS_T","PFHpS","PFNS","PFDS","X4_2.FTS","X6_2_FTS","X8_2.FTS","N.MeFOSAA","N.EtFOSAA","FOSA"
"Naive","MN01","Male",0.000229944455,0.002264051319,0.001476897817,0.0001155,8.4e-05,4.8e-05,0.000305496674,0.000310547711,0.000217594152,6.55e-05,5.15e-05,5.05e-05,0.000324223071,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN02","Male",0.000479824981,0.002481478567,0.000827729822,0.0001155,8.4e-05,4.8e-05,0.000204013638,0.000211791228,0.00015212479,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN03","Male",0.000456736725,0.002560983974,0.000931987498,0.0001155,8.4e-05,4.8e-05,0.000239576168,0.00020644208,0.000151912807,6.55e-05,5.15e-05,5.05e-05,0.000321325455,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN04","Male",0.0001095,0.0023048754,0.000938868062,0.0001155,8.4e-05,4.8e-05,0.000250377361,0.000251785832,0.000182747255,6.55e-05,5.15e-05,5.05e-05,0.000372028106,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN05","Male",0.0001095,0.002955407874,0.000791065288,0.0001155,8.4e-05,4.8e-05,0.000285578115,0.000285806351,0.000216584206,6.55e-05,5.15e-05,5.05e-05,0.00045296038,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN06","Male",0.00034573202,0.002805944439,0.00099983324,0.0001155,8.4e-05,4.8e-05,0.000211124333,0.000238909986,0.000179902595,6.55e-05,5.15e-05,5.05e-05,0.000229301659,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN07","Male",0.000278726767,0.002643846225,0.001009912823,0.0001155,8.4e-05,4.8e-05,0.000243780446,0.000267624066,0.000187858211,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","MN08","Male",0.0001095,0.002840691686,0.000820397501,0.0001155,8.4e-05,4.8e-05,0.000181713594,0.000207042594,6.2e-05,6.55e-05,5.15e-05,5.05e-05,0.000333841749,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN09","Female",0.0001095,0.001609302635,0.000704540985,0.0001155,8.4e-05,4.8e-05,0.000287828608,0.000312163985,0.000175393597,6.55e-05,5.15e-05,5.05e-05,0.000537976838,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN10","Female",0.0001095,0.002278815417,0.000691459843,0.0001155,8.4e-05,4.8e-05,0.000293572929,0.000285362524,0.00016729619,6.55e-05,5.15e-05,5.05e-05,0.000150026272,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN11","Female",0.0001095,0.001590997314,0.00072494471,0.0001155,8.4e-05,4.8e-05,0.000269230018,0.000290004683,0.000152902581,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN12","Female",0.000255104591,0.001541260942,0.000524709307,0.0001155,8.4e-05,4.8e-05,0.000277284307,0.000254961805,0.000180888218,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN13","Female",0.000223674641,0.001514546476,0.000598690455,0.0001155,8.4e-05,4.8e-05,0.000327837194,0.000296145666,0.000188757713,6.55e-05,5.15e-05,5.05e-05,0.000139822061,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN14","Female",0.0001095,0.001678645477,0.000578901091,0.0001155,8.4e-05,4.8e-05,0.000275458376,0.000293880707,0.000161327314,6.55e-05,5.15e-05,5.05e-05,0.000138129589,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN15","Female",0.0001095,0.001507952,0.0006757957,0.0001155,8.4e-05,4.8e-05,0.000224933328,0.000212463765,0.000128648403,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Naive","FN16","Female",0.0001095,0.001328284981,0.000577792504,0.0001155,8.4e-05,9.8189916e-05,0.00028742121,0.000289552297,0.000195892224,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV17","Male",0.000621558515,0.006083316749,0.001154819309,0.0001155,8.4e-05,4.8e-05,0.000310443008,0.000339381094,0.00020369283,6.55e-05,5.15e-05,5.05e-05,0.000652891026,8.05e-05,0.000239405023,0.00022287944,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV18","Male",0.000363829996,0.006335934157,0.00192769553,0.0001155,8.4e-05,0.00011904001,0.000330869006,0.000369323993,0.000294215831,6.55e-05,5.15e-05,5.05e-05,0.00039052547,8.05e-05,0.000245736504,0.000257740013,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV19","Male",0.00027036234,0.005014437715,0.001157691914,0.0001155,8.4e-05,4.8e-05,0.000282210102,0.000243335951,0.000180817669,6.55e-05,5.15e-05,5.05e-05,0.000516477827,8.05e-05,0.000194723795,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV20","Male",0.000244098155,0.003024889204,0.000680081728,0.0001155,8.4e-05,9.7075916e-05,0.000239151291,0.000266001546,0.000177127688,6.55e-05,5.15e-05,5.05e-05,0.000320662613,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV21","Male",0.000302885636,0.003606934141,0.000896117803,0.0001155,8.4e-05,4.8e-05,0.0002503202,0.000241851087,0.000181882873,6.55e-05,5.15e-05,5.05e-05,0.000141839521,8.05e-05,0.000228262727,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV22","Male",0.0001095,0.002787687652,0.000680005401,0.0001155,8.4e-05,4.8e-05,0.000229557033,0.000229043572,0.000166738427,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV23","Male",0.00027334465,0.003790143956,0.000958755906,0.0001155,8.4e-05,4.8e-05,0.000244189272,0.000234247867,0.000133038761,6.55e-05,5.15e-05,5.05e-05,0.000243788358,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","MV24","Male",0.0001095,0.00335328269,0.001093333207,0.0001155,8.4e-05,4.8e-05,0.000203388598,0.000176788555,0.000162742129,6.55e-05,5.15e-05,5.05e-05,0.000239711535,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","FV25","Female",0.000296982067,0.002161764409,0.000349333895,0.0001155,8.4e-05,4.8e-05,0.000296782374,0.00030121426,0.00017544053,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","FV26","Female",0.000372761025,0.001823113591,0.00020702725,0.0001155,8.4e-05,4.8e-05,0.000265948783,0.000282986942,0.000173655924,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","FV27","Female",0.0001095,0.002093984548,0.000273291568,0.0001155,8.4e-05,4.8e-05,0.000265216121,0.000303965709,0.000170552577,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","FV28","Female",0.000267405293,0.002030730761,0.000396865067,0.0001155,8.4e-05,4.8e-05,0.000291163024,0.000257160102,0.000154787856,6.55e-05,5.15e-05,5.05e-05,0.000153292275,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
"Vehicle","FV29","Female",0.000282703722,0.002000472212,0.000217144146,0.0001155,8.4e-05,4.8e-05,0.000295206998,0.000302808748,0.000179756356,6.55e-05,5.15e-05,5.05e-05,6.7e-05,8.05e-05,9.4e-05,8.5e-05,0.0001135,0.000121,8.75e-05,0.000125,0.0001355,NA,NA,NA
