"Group","Mouse.ID","Sex","Number.of.Fecal.Pellet..","PFOA","PFOS","PFBA","PFPeA","PFHxA","PFHpA","PFNA","PFDA","PFUdA","PFDoA","PFTrDA","PFTeDA","HFPO.DA","DONA","PFBS","PFPeS","PFHxS","PFHpS","PFNS","PFDS","X4_2.FTS","X6_2_FTS","X8_2.FTS"
"Naive","MN65","Male",2,0.0755,0.106,0.199,0.0525,0.058,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Naive","MN66","Male",2,0.0755,0.106,0.46,0.0525,0.049,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Naive","MN67","Male",1,0.0755,0.5,0.246,0.0525,0.0305,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Naive","MN69","Male",1,0.0755,0.552,0.174,0.0525,0.0305,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Naive","MN70","Male",1,0.147,0.558,0.351,0.0525,0.051,0.064,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.041,0.049,0.0465
"Naive","MN72","Male",1,0.172,0.289,0.425,0.0525,0.0305,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Vehicle","MV75","Male",1,0.262,0.468,0.439,0.0525,0.0305,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Vehicle","MV76","Male",1,0.226,0.106,0.272,0.0525,0.0305,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"Vehicle","MV78","Male",1,0.077,0.106,0.256,0.0525,0.0305,0.045,0.056,0.0435,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"PFOA 0.166","MA81","Male",1,369.5,0.106,0.247,0.0525,0.0305,0.045,0.056,0.997,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"PFOA 0.166","MA85","Male",1,97.7,0.106,0.069,0.0525,0.0305,0.045,0.056,0.583,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"PFOA 0.166","MA87","Male",1,78.5,0.106,0.244,0.0525,0.0305,0.045,0.056,0.305,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"PFOA 0.166","MA88","Male",1,85.9,0.106,0.423,0.0525,0.0305,0.045,0.056,0.541,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.0285,0.049,0.0465
"PFOA 0.5","MA90","Male",1,475,0.106,0.439,0.0525,0.0305,0.045,0.056,1.096,0.0545,0.0385,0.0635,0.031,0.077,0.0785,0.1805,0.107,0.096,0.062,0.1125,0.07,0.197,0.049,0.0465
