"","Parameter","Female","Male"
"1","BW","0.02","0.02"
"2","Caco2.Pab","1.6","1.6"
"3","Caco2.Pab.dist",NA,NA
"4","Clint","0","0"
"5","Clint.dist","0,0,6.13,0.961","0,0,6.13,0.961"
"6","Clmetabolismc","0.0002209","0.0001917"
"7","Funbound.plasma","0.00256","0.00256"
"8","Funbound.plasma.dist","0.00339,0.00245,0.00466","0.00339,0.00245,0.00466"
"9","Funbound.plasma.adjustment","0.9951","0.9951"
"10","Fabsgut","0.9798","0.9798"
"11","Fhep.assay.correction","0.8223","0.8223"
"12","hematocrit","0.45","0.45"
"13","Kgut2pu","1434","1434"
"14","kgutabs","1.572","1.572"
"15","Kkidney2pu","2474","2474"
"16","Kliver2pu","2433","2433"
"17","Klung2pu","783.2","783.2"
"18","Krbc2pu","747.9","747.9"
"19","Krest2pu","778.7","778.7"
"20","liver.density","1.05","1.05"
"21","million.cells.per.gliver","110","110"
"22","MW","500.1","500.1"
"23","Pow","406400","406400"
"24","pKa_Donor","-3.32","-3.32"
"25","pKa_Accept"," "," "
"26","MA","75860","75860"
"27","Qcardiacc","9.024","9.024"
"28","Qgfrc","0.3159","0.3159"
"29","Qgutf","0.1812","0.1812"
"30","Qkidneyf","0.1625","0.1625"
"31","Qliverf","0.0439","0.0439"
"32","Rblood2plasma","0.588","0.588"
"33","Vartc","0.04545","0.04545"
"34","Vgutc","0.04041","0.04041"
"35","Vkidneyc","0.0159","0.0159"
"36","Vliverc","0.05229","0.05229"
"37","Vlungc","0.006949","0.006949"
"38","Vrestc","0.6915","0.6915"
"39","Vvenc","0.04545","0.04545"
"40","Vdist","0.261","0.263"
"41","kelim","0.0008463","0.000729"
